filename,epidemiology,Covid,crowd,Given,a,numWord
33831818.txt,0,0,0,0,76,8808
33833858.txt,1,0,0,0,74,6187
33846214.txt,0,0,0,0,37,5531
33846277.txt,1,0,0,0,80,5698
33863381.txt,1,0,0,0,129,10109
33875443.txt,0,0,0,0,109,6266
33886587.txt,0,0,32,0,109,8331
33898375.txt,0,0,0,0,50,5192
33901726.txt,0,0,0,0,164,9238
33904828.txt,0,0,0,0,128,10946
33905451.txt,0,0,2,0,134,9362
33905618.txt,0,0,0,0,92,6116
33906604.txt,0,0,136,0,126,6948
33930066.txt,1,0,0,0,212,17416
33944787.txt,0,0,1,0,149,10793
33950850.txt,2,0,0,0,80,12405
33975550.txt,0,0,1,0,228,12953
33983124.txt,0,0,0,0,111,7580
33988706.txt,0,0,0,0,93,6200
33991885.txt,0,0,1,0,82,6577
33993798.txt,0,0,0,0,141,8911
33999002.txt,0,0,0,0,92,4120
34009130.txt,0,0,0,0,153,7972
34010118.txt,0,0,0,0,45,8888
34032798.txt,0,0,0,0,81,7342
34059014.txt,0,0,0,0,92,5522
34065434.txt,0,0,2,0,175,15162
34077441.txt,0,0,2,0,149,11187
34078955.txt,0,0,1,0,98,5885
34083538.txt,0,0,0,0,177,13508
34086682.txt,0,0,29,0,128,9281
34098316.txt,0,0,0,0,144,10456
34098981.txt,0,0,0,0,119,7737
34102000.txt,0,0,0,0,78,7410
34114959.txt,0,0,3,0,164,14039
34133447.txt,0,0,3,0,150,7621
34138921.txt,0,0,3,0,167,10768
34139479.txt,0,0,1,0,102,10404
34146471.txt,0,0,0,0,185,12601
34153749.txt,0,0,0,0,65,5774
34162883.txt,2,0,0,0,126,6225
34170748.txt,0,0,0,0,131,5710
34174780.txt,4,0,0,0,58,11961
34195686.txt,0,0,0,0,160,13748
34197498.txt,0,0,1,0,141,9343
34218997.txt,0,0,0,0,86,5760
34224351.txt,0,0,0,0,140,18984
34238247.txt,0,0,3,0,133,7992
34245605.txt,0,0,0,0,53,7449
34258599.txt,0,0,0,0,35,4469
34281723.txt,0,0,5,0,272,15249
34284756.txt,0,0,0,0,127,12315
34293163.txt,0,0,1,0,38,6098
34300164.txt,0,0,28,0,232,17649
34300376.txt,0,0,4,0,90,7470
34300505.txt,0,0,0,0,109,8929
34300580.txt,0,0,0,0,115,4839
34311767.txt,0,0,0,0,121,7979
34321592.txt,0,0,0,0,107,8533
34341961.txt,0,0,0,0,232,9783
34351988.txt,1,0,0,0,143,10942
34357539.txt,0,0,0,0,152,9020
34360073.txt,0,0,0,0,391,24441
34360124.txt,0,0,0,0,81,7970
34370726.txt,0,0,0,0,143,10844
34372243.txt,0,0,31,0,143,12424
34372384.txt,0,0,1,0,133,10450
34389844.txt,0,0,0,0,160,7007
34414695.txt,3,0,0,0,94,7475
34429423.txt,0,0,0,0,61,3913
34436264.txt,0,0,0,0,151,13124
34437925.txt,0,0,0,0,59,5426
34448700.txt,0,0,0,0,88,6055
34450875.txt,0,0,0,0,131,6990
34450894.txt,0,0,0,0,48,8462
34450957.txt,0,0,0,0,148,9158
34469783.txt,0,0,0,0,80,6223
34471196.txt,1,0,0,0,108,8135
34488673.txt,0,0,0,0,116,6235
34502771.txt,0,0,11,0,173,8855
34520464.txt,0,0,0,0,158,9758
34520542.txt,0,0,0,0,137,8850
34561758.txt,1,0,0,0,99,5267
34574591.txt,0,0,0,0,246,21743
34587206.txt,0,0,0,0,204,16426
34590289.txt,0,0,0,0,139,12386
34591892.txt,1,0,0,0,125,14701
34600479.txt,0,0,0,0,119,6730
34607924.txt,0,0,2,0,73,7081
34612847.txt,2,0,0,0,67,10980
34615866.txt,0,0,0,0,73,4854
34633425.txt,0,0,0,0,58,5110
34636446.txt,0,0,0,0,91,6208
34656870.txt,0,0,0,0,91,8592
34661806.txt,0,0,0,0,62,5464
34661974.txt,0,0,0,0,113,9968
34665240.txt,2,0,0,0,38,6949
34673528.txt,0,0,1,0,114,7488
34710081.txt,0,0,2,0,55,5129
34714248.txt,0,0,0,0,167,7907
34717500.txt,0,0,68,0,189,11100
34725485.txt,0,0,0,0,133,9240
34737325.txt,1,0,0,0,132,7656
34740928.txt,2,0,4,0,148,8003
34770276.txt,0,0,1,0,160,9997
34784378.txt,1,0,0,0,115,8841
34784899.txt,0,0,0,0,410,23409
34787045.txt,0,0,18,0,243,11520
34802268.txt,0,0,0,0,88,6885
34818338.txt,0,0,0,0,201,14821
34831571.txt,0,0,0,0,76,7986
34833800.txt,0,0,0,0,92,4934
34836387.txt,0,0,0,0,74,5658
34848748.txt,0,0,0,0,140,9550
34860157.txt,0,0,0,0,193,10773
34869143.txt,0,0,0,0,216,13834
34871295.txt,0,0,0,0,47,1839
34880349.txt,0,0,0,0,51,4946
34886398.txt,0,0,0,0,203,10320
34889750.txt,0,0,1,0,224,13329
34904539.txt,0,0,0,0,90,5976
34915891.txt,0,0,0,0,53,8129
34932003.txt,0,0,0,0,132,9972
34932012.txt,0,0,0,0,131,7848
34960305.txt,0,0,2,0,122,9989
34962931.txt,0,0,0,0,158,10151
35040794.txt,0,0,2,0,114,10555
35042866.txt,0,0,0,0,142,9182
